date,groupe_age,campagne,DOSES(J07E1),ACTE(VGP),annee,mois,jour_semaine,semaine_annee,DOSES(J07E1)_campagne,ACTE(VGP)_campagne,UNIVERS,PHARMACIES,POURCENTAGE
2021-11-23,moins de 65 ans,2021-2022,85607,31783,2021,11,1,47,,,,,
2021-11-24,65 ans et plus,2021-2022,108954,58897,2021,11,2,47,,,,,
2021-11-24,moins de 65 ans,2021-2022,68446,25243,2021,11,2,47,,,,,
2021-11-25,65 ans et plus,2021-2022,105921,58293,2021,11,3,47,,,,,
2021-11-25,moins de 65 ans,2021-2022,62553,24659,2021,11,3,47,,,,,
2021-11-26,65 ans et plus,2021-2022,99072,56424,2021,11,4,47,,,,,
2021-11-26,moins de 65 ans,2021-2022,67379,28494,2021,11,4,47,,,,,
2021-11-27,65 ans et plus,2021-2022,38724,16010,2021,11,5,47,,,,,
2021-11-27,moins de 65 ans,2021-2022,42211,17077,2021,11,5,47,,,,,
2021-11-28,65 ans et plus,2021-2022,593,312,2021,11,6,47,,,,,
2021-11-28,moins de 65 ans,2021-2022,638,241,2021,11,6,47,,,,,
2021-11-29,65 ans et plus,2021-2022,86001,47378,2021,11,0,48,,,,,
2021-11-29,moins de 65 ans,2021-2022,51357,21273,2021,11,0,48,,,,,
2021-11-30,65 ans et plus,2021-2022,94850,54192,2021,11,1,48,,,,,
2021-11-30,moins de 65 ans,2021-2022,50213,21188,2021,11,1,48,,,,,
2021-12-01,65 ans et plus,2021-2022,71523,40252,2021,12,2,48,,,,,
2021-12-01,moins de 65 ans,2021-2022,42202,17357,2021,12,2,48,,,,,
2021-12-02,65 ans et plus,2021-2022,70914,40202,2021,12,3,48,,,,,
2021-12-02,moins de 65 ans,2021-2022,37999,16056,2021,12,3,48,,,,,
2021-12-03,65 ans et plus,2021-2022,59561,34194,2021,12,4,48,,,,,
2021-12-03,moins de 65 ans,2021-2022,37171,16513,2021,12,4,48,,,,,
2021-12-04,65 ans et plus,2021-2022,24530,10634,2021,12,5,48,,,,,
2021-12-04,moins de 65 ans,2021-2022,23973,9942,2021,12,5,48,,,,,
2021-12-05,65 ans et plus,2021-2022,401,285,2021,12,6,48,,,,,
2021-12-05,moins de 65 ans,2021-2022,432,197,2021,12,6,48,,,,,
2021-12-06,65 ans et plus,2021-2022,50507,29296,2021,12,0,49,,,,,
